a      | my_sqrt(a)         | math.sqrt(a)       | diff
----------------------------------------------------
1      | 1.0                | 1.0                | 0.0               
2      | 1.414213562373095  | 1.4142135623730951 | 2.220446049250313e-16
3      | 1.7320508075688772 | 1.7320508075688772 | 0.0               
4      | 2.0                | 2.0                | 0.0               
5      | 2.23606797749979   | 2.23606797749979   | 0.0               
6      | 2.449489742783178  | 2.449489742783178  | 0.0               
7      | 2.6457513110645907 | 2.6457513110645907 | 0.0               
8      | 2.82842712474619   | 2.8284271247461903 | 4.440892098500626e-16
9      | 3.0                | 3.0                | 0.0               
10     | 3.162277660168379  | 3.1622776601683795 | 4.440892098500626e-16
11     | 3.3166247903554    | 3.3166247903554    | 0.0               
12     | 3.4641016151377544 | 3.4641016151377544 | 0.0               
13     | 3.6055512754639896 | 3.605551275463989  | 4.440892098500626e-16
14     | 3.7416573867739413 | 3.7416573867739413 | 0.0               
15     | 3.872983346207417  | 3.872983346207417  | 0.0               
16     | 4.0                | 4.0                | 0.0               
17     | 4.123105625617661  | 4.123105625617661  | 0.0               
18     | 4.242640687119286  | 4.242640687119285  | 8.881784197001252e-16
19     | 4.358898943540673  | 4.358898943540674  | 8.881784197001252e-16
20     | 4.47213595499958   | 4.47213595499958   | 0.0               
21     | 4.58257569495584   | 4.58257569495584   | 0.0               
22     | 4.69041575982343   | 4.69041575982343   | 0.0               
23     | 4.795831523312719  | 4.795831523312719  | 0.0               
24     | 4.898979485566356  | 4.898979485566356  | 0.0               
25     | 5.0                | 5.0                | 0.0               
